id,createdTime,Official_Name,Country,ISO_Country_Code,Alternative_Names,Region,Coordinates,loc_id,city_x,country_x,latitude,longitude,World_Bank_region,World_Bank_country_income_level,population_2020,Plan_doc,elevation,CDD21,Tmax35_days,Tmax40_days,Tmax95pctl_days,Tmax_highest,arbovirus_days,heatwave_count,heatwave_duration,malaria_days,pr90pctl_days,pr_highest,CDD21_score,Tmax35_days_score,Tmax40_days_score,Tmax95pctl_days_score,Tmax_highest_score,arbovirus_days_score,heatwave_count_score,heatwave_duration_score,malaria_days_score,pr90pctl_days_score,pr_highest_score,elevation_score
rec6HWSRfsDA4rL1F,2025-02-26T15:34:45.000Z,Tulsa,United States,US,"USTUL, 圖爾薩, TUL, Тълса, タルサ, Талса",Oklahoma,"36.15398,-95.99277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec9JTuzzRSJlz6ZF,2025-02-26T15:34:45.000Z,Miami,United States,US,"மயாமி, MIA, მაიამი, ማያሚ, Maiami, مايامى, မိုင်ယာမီမြို့, Маямі, मायामी, Mayami, ميامي, ಮಿಯಾಮಿ, מיאמי, Miamia, میامی, ไมแอมี, میامی، فلوریدا, Մայամի, 迈阿密, USMIA, మయామి, 마이애미, Майами, マイアミ, 邁阿密, Μαϊάμι, 邁亞美, Q8652, Miamo, Маями, मियामी, Мајами, Majami, માયામિ, মায়ামি, Majamis",Florida,"25.77427,-80.19366",76,Miami,United States,26.17958738,-80.2108039,North America,High income,"5,821,109",Y,2,1816.981973,7.397216667,0,80.53084222,35.82176338,150.3279222,8.861646667,23.76849,184.2544667,40.24891111,41.03358914,7,4,3,8,4,9,9,6,9,4,4,10
recDiELN5REhnmWee,2025-02-26T15:34:45.000Z,Da Nang,Vietnam,VN,"ダナン, Turan, DAD, Tourane, 峴港, Да Нанг, VNDAD, Danang, Đà Nẵng, 岘港, 다낭",Da Nang,"16.06778,108.22083",867,Da Nang,Vietnam,16.04094152,108.1953831,East Asia & Pacific,Lower middle income,"1,058,099",Y,8.010312,1765.221447,1.498596667,0,74.58932889,34.32004057,152.2071378,9.253538889,15.95988,176.0143,49.54128,122.9878032,6,3,3,7,3,9,9,2,8,9,10,10
recEvv7AgSgzABeNE,2025-02-26T15:34:45.000Z,Chennai,India,IN,"Q1352, Ченнаи, 첸나이, Tamulinadu, Ченнаї, चेन्नै, Чэнаі, चेन्नई, Csennai, Τσεννάι, చెన్నై, Çennai, INMAA, চেন্নাই, צנאי, ಚೆನ್ನೈ, چينای, Ченај, チェンナイ, Tamizhagam, Ченай, ချန်နိုင်းမြို့, Madrás, ચેન્નઈ, ചെന്നൈ, சென்னை, چینائی, Ченнай, เจนไน, චෙන්නායි, Ĉenajo, تشيناي, Maderaspatanum, Čennai, Չեննայ, Čennaí, Madras, 清奈, MAA, Ćennaj, چنای, Čenajus, ჩენაი, Çenay, Čenaj, ਚੇਨਈ, ଚେନ୍ନାଇ, چنائی, 金奈",Tamil Nadu,"13.08784,80.27847",677,Chennai,India,13.01635766,80.173301,South Asia,Lower middle income,"10,752,416",Y,9.003976,2877.420046,130.94906,17.48933667,54.89654667,41.57252817,102.0027489,4.502616667,27.41628,146.8227111,42.87081667,71.72282702,10,9,8,2,8,8,1,7,8,6,9,9
recF0KglS9Rs9doKC,2025-02-26T15:34:45.000Z,Nashville,United States,US,"Nasburgum, ნეშვილი, नॅशव्हिल, 내슈빌, نیشویل، ٹینیسی, แนชวิลล์, Nashwil, Նեշվիլ, ナッシュビル, Νάσβιλ, Nešvilis, Q23197, ناشفيل, Nashborough, BNA, USBNA, Нашвілл, French Lick, न्यास्भिल्ल, Нашвил, Našvėlis, 纳什维尔, Neşvill, Nachville, 納殊維爾, Nashville-Davidson, न्याश्भिल, Нашвіл, ناشولے, Нешвил, Naŝvilo, நாஷ்வில், Нэшвилл, Nashboro, Нашвилл, Našvila, ন্যাশভিল, नाश्विल्, נאשוויל, Nashfile, نشویل",Tennessee,"36.16589,-86.78444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recGsfcznQ0WCyWuk,2025-02-26T15:34:45.000Z,Bangkok,Thailand,TH,"Q1861, بانګکوک, པན་ཀོག, 방콕, バンコク, Bancocum, بانكوك, Siayuthia, Banghok, ባንኮክ, Krungdeb, Bangkòk, Bankokas, बैंकॉक, กรุงเทพมหานคร, চাংৱাত ব্যাংকক, Bangkok Metropolis, Màn-kuk, Բանգկոկ, 曼谷, بانکوک, Bangkoka, BKK, ბანგკოკი, ਬੈਂਕਾਕ, ബാങ്കോക്ക്, Bankoko, Banqkok, Bankok, Bancoque, Banguecoque, बैंकक, बँकॉक, ব্যাংকক, بانکۆک, באנגקאק, Бангкок, Bancác, Банкок, بنکاک, Μπανγκόκ, THBKK, بانگكوك, பேங்காக், Баҥкок, Krung Thep, בנגקוק, බැංකොක්, กรุงเทพ, กรุงเทพฯ, ဘန်ကောက်မြို့, Changwat Phra Nakhon, The City of Angels, Krung Thep Maha Nakhon, ಬ್ಯಾಂಕಾಕ್, Phra Nakhon, ບາງກອກ, Amphoe Phra Nakhon",Bangkok,"13.75398,100.50144",765,Bangkok,Thailand,13.7668898,100.5437099,East Asia & Pacific,Upper middle income,"17,063,217",Y,8.584521501,3098.16336,114.6912133,9.412468889,57.21624,40.41930572,163.2749667,5.381637778,22.39859667,80.52244,47.54255,40.60847963,10,9,8,3,7,9,2,5,6,8,4,9
recIuneLAWPeJ4xY3,2025-02-26T15:34:45.000Z,Calgary,Canada,CA,"Kalqari, კალგარი, کلگری, ಕ್ಯಾಲ್ಗರಿ, कैलगरी, ကယ်လ်ဂရီမြို့, CACAL, కాల్గరీ, Κάλγκαρι, Kelgery, カルガリー, Калгари, کیلگری, Կալգարի, Calgaria, แคลกะรี, Kalgario, Калгары, कॅल्गारी, Калгарі, 卡加利, Kalgari, 캘거리, 卡尔加里, கால்கரி, Kalgaris, YYC, קלגרי, کالگری, كالغاري, ਕੈਲਗਰੀ",Alberta,"51.05011,-114.08529",55,Calgary,Canada,51.039687,-114.0703599,North America,High income,"1,192,934",Y,1053.42244,16.81613,1.379916667,0,63.43095,33.79149946,0,8.385673333,18.89570333,5.412466667,42.01113889,26.11176978,1,3,3,5,2,1,8,4,1,6,2,1
recM80NAtqDpbwdQk,2025-02-26T15:34:45.000Z,Los Angeles,United States,US,"El Pueblo del Rio de Nuestra Senora, لس آنجلس, Լոս Անջելես, Los Anjeles, Los Anjélés, Pueblo De Los Angeles, Los Anxheles, லாஸ் ஏஞ்சலஸ், ಲಾಸ್ ಎಂಜಲೀಸ್, Лос Анӂелес, 洛杉矶, ലോസ് ആഞ്ചെലെസ്, Los-Anĝeleso, Лос-Анджэлес, Лос-Анджелес, Cuidad De Los Angelos, لاس اینجلس, La Reina de Los Angeles de Porciuncula, LAX, لوس انجليس, لوس‌آنجلس, Ciudad De los Angelos, Los Andželas, 로스앤젤레스, Лос-Анжелес, ਲਾਸ ਐਂਜਲਸ, 洛杉磯, လော့စ်အိန်ဂျယ်လိစ်မြို့, Q65, लॉस एंजेल्स, Lungsod ng Los Angeles, लॉस एंजेलिस, ロサンゼルス, Pueblo Los Angelos, Os Ánxeles, Los Andželes, Лос Анђелес, لوس أنجلوس, Los Anxhelos, Лос Андьелес, Лос Анжелес, لۆس ئانجلەس, लास एंजलस, Λος Άντζελες, لوس ئانجېلېس, 로스엔젤레스, Los-Anceles, لس‌آنجلس, লস অ্যাঞ্জেলেস, లాస్ ఏంజలెస్, לוס אנגלס, लस एञ्जिलस, Лос-Анжелес шаары, Lo̍k-chhám-kî, Лос Анџелес, לאס אנדזשעלעס, USLAX, LA, Лос Анҷелес, لوس آنجلس, Los Ángeles, Luos Andžels, Лос-Анџелес, Angelopolis, Los-Anjeles, ლოს-ანჯელესი, ลอสแอนเจลิส, Лос Анджелис, Лос Анджелес, Losandželosa, लस एन्जलस, લોસ એન્જેલસ, 엘에이, L.A., ሎስ አንጄሌስ",California,"34.05223,-118.24368",2,Los Angeles,United States,33.95381355,-117.9539253,North America,High income,"14,811,961",Y,229.08334,474.54032,14.14159889,0,51.18174,35.56777954,31.69832889,7.335077778,17.14586111,80.30517333,40.16348,53.63738802,3,5,3,1,4,3,6,3,6,4,6,4
recRg6eC2bKnjWLXM,2025-02-26T15:34:45.000Z,Dubai,United Arab Emirates,AE,"దుబాయ్, ดูไบ, დუბაი, Dúbæ, துபை, Ντουμπάι, دبي, Dubaj, Դուբայի Էմիրություն, ドバイ, দুবাই, Dubay, Dibai, Doubayi, دبی, Дубаи, Dibay, دبئی, دوبەی, دۇبائى, Dabei, Dubajus, दुबई, Dubajo, Dubái, Dubaija, Dubaï, Q612, Dubayy, Fort Dabei, 두바이, Дубай, Эмірат Дубай, AEDXB, DXB, Dubai City, Dubai emiraat, דוביי, 杜拜, ದುಬೈ, دبى, 迪拜, ദുബായ്, דובאי",Dubai,"25.07725,55.30927",487,Dubai,United Arab Emirates,25.22126099,55.3301766,Middle East & North Africa,High income,"4,013,765",Y,6.347450043,2997.315778,174.98295,72.72971667,89.21660444,44.0925713,46.32048222,8.50163,33.58562778,81.23161333,99.67663,24.48186411,10,10,10,9,9,4,8,9,6,10,2,10
recTrHByUgrwso1Lw,2025-02-26T15:34:45.000Z,Karachi,Pakistan,PK,"కరాచీ, Կարաչի, कराची, การาจี, 카라치, Karaczi, ڪراچي, Karatxi, করাচী, ಕರಾಚಿ, KHI, კარაჩი, કરાચી, カラーチー, Karačės, Q8660, カラチ, Karacsi, ਕਰਾਚੀ, Karaçi, كاراتشى, Karanchi, Karaaji, കറാച്ചി, کەراچی, קראצי, PKKHI, کَرٲچی, ކަރާޗީ, Karatsji, କରାଚୀ, Karáčí, Карачы, Karačis, Kurrachee, ကရာချိမြို့, Karochi, کراچی, Kurrachi, Карачи, ཀ་ར་ཆི, Karáči, Kəraçi, Keraçî, Carachi, Karaĉio, كراتشي, கராச்சி, Karāchi, Karāči, ከራቺ, קאראטשי, Карачі, Karâchi, Karatschi, Καράτσι, كاراچى, Karasi, কৰাচী, 卡拉奇, 喀拉蚩, Karači, pechs, Karaci, کراچۍ",Sindh,"24.8608,67.0104",508,Karachi,Pakistan,24.89930801,67.07801037,South Asia,Lower middle income,"18,412,759",Y,37.39331,2386.667882,67.83653222,8.00924,57.5832,40.61130056,94.75512,7.387366667,16.53267556,85.34218889,100.3333333,33.28871709,9,8,8,3,7,7,6,2,6,10,3,7
